CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595342;287;29;198098;190821;19;690809 
4595873;304;35;198542;190801;8;690808 
4595388;518;32;197934;190840;9;690810 
4595663;443;30;198049;190997;5;690812 
4595994;336;36;198376;190946;8;690812 
4595653;422;201;197936;190933;8;690811 
4595221;438;25;197711;190941;5;690809 
4595018;308;21;197757;190834;4;690808 
4595457;443;48;197742;190894;9;690808 
4595378;434;16;197722;190955;7;690807 
4594853;355;17;197635;190748;9;690807 
4595082;277;9;197691;190795;7;690806 
4594841;192;5;197693;190752;8;690806 
4595035;386;21;197548;190835;4;690807 
4595085;392;26;197900;190817;5;690809 
4595269;288;47;197789;190858;4;690809 
4595550;588;45;197742;190875;8;690809 
4596400;339;45;198604;191057;6;690812 
4596066;636;45;198149;191080;6;690813 
4595198;481;43;197655;190883;4;690812 
4595426;445;22;197903;190850;8;690808 
4595302;440;32;197856;190943;7;690809 
4596033;358;51;198045;191243;11;690809 
4595071;299;31;197741;190855;5;690808 
4594939;169;9;197691;190772;5;690806 
4595125;435;12;197778;190769;9;690808 
4595251;429;12;197630;190935;7;690807 
4594871;299;4;197541;190766;4;690806 
4595564;310;42;198122;190905;6;690810 
4595434;372;31;198174;190793;18;690810 
4595169;372;30;198163;190795;8;690810 
4596029;364;36;198715;190839;5;690810 
4595462;395;31;197943;190908;6;690811 
4595850;398;42;198298;191008;8;690811 
4595314;408;40;197873;190962;11;690811 
4595280;328;25;197768;190921;6;690808 
4595539;610;21;197931;190814;8;690808 
4595024;507;25;197695;190738;6;690809 
4595628;525;16;197903;190880;9;690807 
4595329;801;9;197540;190748;4;690806 
4595031;186;9;197692;190806;4;690806 
4594914;261;16;197677;190780;6;690807 
4595589;421;31;198140;190976;15;690810 
4595365;435;57;197951;190842;11;690810 
4595227;330;26;197886;190790;9;690808 
4597032;528;38;199299;191051;13;690812 
4595532;443;33;197774;191045;5;690812 
4595539;529;42;197950;190991;9;690813 
4595030;394;58;197745;190779;12;690811 
4594985;389;24;197854;190761;7;690810 
4595109;319;21;197790;190792;6;690809 
4595077;427;47;197647;190873;5;690808 
4595015;214;5;197694;190803;5;690806 
4595372;259;14;197813;190910;6;690807 
4595567;791;8;197854;190735;10;690806 
4595088;381;8;197692;190757;15;690806 
4595126;303;27;197785;190941;7;690809 
4598442;626;86;200534;191205;11;690821 
4595383;629;31;197965;190776;7;690810 
4595426;316;44;198056;190806;9;690808 
4595399;295;39;197939;191009;6;690811 
4596313;411;44;198392;191097;10;690811 
4595036;482;44;197781;190790;6;690812 
4595549;598;49;197752;190893;15;690808 
4595560;369;52;197960;190906;6;690809 
4595550;327;200;197734;191129;6;690810 
4596217;1593;38;197592;190879;5;690808 
4595122;271;8;197843;190759;7;690806 
4595313;483;12;197756;190813;6;690807 
4594706;331;19;197646;190688;5;690807 
4595111;355;5;197689;190782;6;690806 
4595574;359;31;198265;190837;6;690809 
4595096;449;25;197652;190900;8;690809 
4596280;381;27;198986;190859;9;690810 
4595352;313;36;197967;191041;6;690811 
4595256;357;52;197777;190957;4;690811 
4595434;525;35;197868;190901;8;690812 
4596007;679;44;198012;191014;7;690811 
4595541;287;32;197976;190954;5;690808 
4594967;249;21;197755;190822;9;690808 
4595536;419;51;197734;191198;6;690812 
4595154;284;16;197776;190850;6;690807 
4594775;190;9;197539;190774;5;690806 
4595525;466;8;197840;190828;7;690806 
4595491;355;16;197873;191001;7;690809 
4595453;458;34;197937;190840;12;690808 
4595311;335;28;197805;190926;6;690809 
4595103;289;38;197615;190942;6;690810 
4596663;991;60;198368;191060;11;690813 
4595426;335;37;197930;190990;6;690810 
4595228;394;31;197683;191023;3;690811 
4595821;1097;36;197792;190841;6;690810 
4595221;510;50;197706;190904;7;690809 
4596286;423;33;197782;191867;6;690808 
4595157;442;27;197615;190853;5;690808 
4595134;239;9;197694;190846;5;690806 
4596277;1323;15;197831;190864;6;690807 
4595172;341;9;197842;190760;7;690806 
4595237;458;9;197707;190802;5;690806 
